月份,收益率,期初净值,期末净值
2023-04,0.00%,100000.00,100000.00
2023-05,0.00%,100000.00,100000.00
2023-06,-2.00%,100000.00,97998.87
2023-07,3.13%,97998.87,101068.86
2023-08,-2.91%,101068.86,98129.41
2023-09,0.00%,98129.41,98129.41
2023-10,0.00%,98129.41,98129.41
2023-11,-1.31%,98129.41,96848.14
2023-12,0.00%,96848.14,96848.14
2024-01,-1.66%,96848.14,95236.51
2024-02,-0.26%,95236.51,94985.97
2024-03,-1.53%,94985.97,93535.19
2024-04,-0.02%,93535.19,93516.28
2024-05,1.28%,93516.28,94710.03
2024-06,-0.75%,94710.03,94002.66
2024-07,0.00%,94002.66,94002.66
2024-08,-1.48%,94002.66,92612.14
2024-09,6.40%,92612.14,98535.38
2024-10,2.30%,98535.38,100805.18
2024-11,-2.98%,100805.18,97800.17
2024-12,-0.87%,97800.17,96951.96
2025-01,-0.46%,96951.96,96503.42
2025-02,-0.13%,96503.42,96381.18
2025-03,-1.70%,96381.18,94746.78
2025-04,-1.58%,94746.78,93253.65
2025-05,0.00%,93253.65,93253.65
2025-06,-0.03%,93253.65,93225.68
2025-07,-1.25%,93225.68,92059.58
2025-08,0.90%,92059.58,92891.14
2025-09,-2.13%,92891.14,90911.37
2025-10,-1.22%,90911.37,89797.95
2025-11,0.00%,89797.95,89797.95
2025-12,0.00%,89797.95,89797.95
