date,nav
2023-04-20,100000.0000
2023-04-21,100000.0000
2023-04-24,100000.0000
2023-04-25,100000.0000
2023-04-26,100000.0000
2023-04-27,100000.0000
2023-04-28,100000.0000
2023-05-04,100000.0000
2023-05-05,100000.0000
2023-05-08,100000.0000
2023-05-09,100000.0000
2023-05-10,100000.0000
2023-05-11,100000.0000
2023-05-12,100000.0000
2023-05-15,100000.0000
2023-05-16,100000.0000
2023-05-17,100000.0000
2023-05-18,100000.0000
2023-05-19,100000.0000
2023-05-22,100000.0000
2023-05-23,100000.0000
2023-05-24,100000.0000
2023-05-25,100000.0000
2023-05-26,100000.0000
2023-05-29,100000.0000
2023-05-30,100000.0000
2023-05-31,100000.0000
2023-06-01,100000.0000
2023-06-02,100000.0000
2023-06-05,100000.0000
2023-06-06,100000.0000
2023-06-07,100000.0000
2023-06-08,99976.9979
2023-06-09,99583.7479
2023-06-12,99825.7479
2023-06-13,99886.2479
2023-06-14,99402.2479
2023-06-15,99855.9979
2023-06-16,99795.4979
2023-06-19,99039.2479
2023-06-20,98645.9979
2023-06-21,98555.2479
2023-06-26,97998.8657
2023-06-27,97998.8657
2023-06-28,97998.8657
2023-06-29,97998.8657
2023-06-30,97998.8657
2023-07-03,97998.8657
2023-07-04,97998.8657
2023-07-05,97998.8657
2023-07-06,97998.8657
2023-07-07,97998.8657
2023-07-10,97998.8657
2023-07-11,97998.8657
2023-07-12,97998.8657
2023-07-13,97998.8657
2023-07-14,97998.8657
2023-07-17,97998.8657
2023-07-18,97998.8657
2023-07-19,97998.8657
2023-07-20,97998.8657
2023-07-21,97998.8657
2023-07-24,97998.8657
2023-07-25,97998.8657
2023-07-26,97972.1424
2023-07-27,97936.9524
2023-07-28,100470.6324
2023-07-31,101068.8624
2023-08-01,100259.4924
2023-08-02,100259.4924
2023-08-03,101561.5224
2023-08-04,101033.6724
2023-08-07,99766.8324
2023-08-08,98816.7024
2023-08-09,99203.7924
2023-08-10,99766.8324
2023-08-11,99590.8824
2023-08-14,98957.4624
2023-08-15,98851.8924
2023-08-16,99907.5924
2023-08-17,99414.9324
2023-08-18,98129.4136
2023-08-21,98129.4136
2023-08-22,98129.4136
2023-08-23,98129.4136
2023-08-24,98129.4136
2023-08-25,98129.4136
2023-08-28,98129.4136
2023-08-29,98129.4136
2023-08-30,98129.4136
2023-08-31,98129.4136
2023-09-01,98129.4136
2023-09-04,98129.4136
2023-09-05,98129.4136
2023-09-06,98129.4136
2023-09-07,98129.4136
2023-09-08,98129.4136
2023-09-11,98129.4136
2023-09-12,98129.4136
2023-09-13,98129.4136
2023-09-14,98129.4136
2023-09-15,98129.4136
2023-09-18,98129.4136
2023-09-19,98129.4136
2023-09-20,98129.4136
2023-09-21,98129.4136
2023-09-22,98129.4136
2023-09-25,98129.4136
2023-09-26,98129.4136
2023-09-27,98129.4136
2023-09-28,98129.4136
2023-10-09,98129.4136
2023-10-10,98129.4136
2023-10-11,98129.4136
2023-10-12,98129.4136
2023-10-13,98129.4136
2023-10-16,98129.4136
2023-10-17,98129.4136
2023-10-18,98129.4136
2023-10-19,98129.4136
2023-10-20,98129.4136
2023-10-23,98129.4136
2023-10-24,98129.4136
2023-10-25,98129.4136
2023-10-26,98129.4136
2023-10-27,98129.4136
2023-10-30,98129.4136
2023-10-31,98129.4136
2023-11-01,98129.4136
2023-11-02,98129.4136
2023-11-03,98129.4136
2023-11-06,98129.4136
2023-11-07,98129.4136
2023-11-08,98129.4136
2023-11-09,98129.4136
2023-11-10,98129.4136
2023-11-13,98108.1252
2023-11-14,98580.3252
2023-11-15,98540.9752
2023-11-16,98462.2752
2023-11-17,98226.1752
2023-11-20,98068.7752
2023-11-21,98816.4252
2023-11-22,98383.5752
2023-11-23,99406.6752
2023-11-24,99209.9252
2023-11-27,98226.1752
2023-11-28,97872.0252
2023-11-29,96966.9752
2023-11-30,96848.1382
2023-12-01,96848.1382
2023-12-04,96848.1382
2023-12-05,96848.1382
2023-12-06,96848.1382
2023-12-07,96848.1382
2023-12-08,96848.1382
2023-12-11,96848.1382
2023-12-12,96848.1382
2023-12-13,96848.1382
2023-12-14,96848.1382
2023-12-15,96848.1382
2023-12-18,96848.1382
2023-12-19,96848.1382
2023-12-20,96848.1382
2023-12-21,96848.1382
2023-12-22,96848.1382
2023-12-25,96848.1382
2023-12-26,96848.1382
