date,rolling_sharpe_60d
2024-02-20,-0.5392
2024-02-21,1.4971
2024-02-22,1.6666
2024-02-23,1.5780
2024-02-26,0.9876
2024-02-27,0.9366
2024-02-28,0.9197
2024-02-29,1.0851
2024-03-01,0.9142
2024-03-04,0.6408
2024-03-05,0.8051
2024-03-06,0.6373
2024-03-07,0.7196
2024-03-08,0.7196
2024-03-11,0.8663
2024-03-12,1.0119
2024-03-13,0.6253
2024-03-14,0.4478
2024-03-15,0.4478
2024-03-18,0.4478
2024-03-19,0.4478
2024-03-20,0.4478
2024-03-21,0.4349
2024-03-22,0.2755
2024-03-25,0.3204
2024-03-26,0.3072
2024-03-27,0.2050
2024-03-28,0.1466
2024-03-29,0.1904
2024-04-01,0.3640
2024-04-02,0.2334
2024-04-03,0.1029
2024-04-08,0.0744
2024-04-09,0.2082
2024-04-10,-0.2982
2024-04-11,-0.0463
2024-04-12,-0.0463
2024-04-15,-0.0463
2024-04-16,-0.0463
2024-04-17,-0.0463
2024-04-18,-0.0463
2024-04-19,-0.0447
2024-04-22,-0.1103
2024-04-23,0.0045
2024-04-24,0.0471
2024-04-25,0.2965
2024-04-26,0.1820
2024-04-29,0.4809
2024-04-30,0.4655
2024-05-06,0.4099
2024-05-07,0.2641
2024-05-08,0.3834
2024-05-09,0.4940
2024-05-10,0.8324
2024-05-13,1.1181
2024-05-14,0.8472
2024-05-15,0.2310
2024-05-16,0.8338
2024-05-17,1.0763
2024-05-20,0.7928
2024-05-21,1.0094
2024-05-22,-0.9477
2024-05-23,-1.5543
2024-05-24,-1.6262
2024-05-27,-0.3876
2024-05-28,-0.5622
2024-05-29,-0.8541
2024-05-30,-1.4428
2024-05-31,-1.2117
2024-06-03,-1.1032
2024-06-04,-1.3131
2024-06-05,-1.0490
2024-06-06,-1.1903
2024-06-07,-1.1903
2024-06-11,-1.4511
2024-06-12,-1.7158
2024-06-13,-1.1291
2024-06-14,-0.8172
2024-06-17,-0.8172
2024-06-18,-0.8172
2024-06-19,-0.8172
2024-06-20,-0.8172
2024-06-21,-0.7934
2024-06-24,-0.5037
2024-06-25,-0.5890
2024-06-26,-0.5642
2024-06-27,-0.3732
2024-06-28,-0.2628
2024-07-01,-0.3774
2024-07-02,-0.5537
2024-07-03,-0.5959
2024-07-04,-0.5107
2024-07-05,-1.2553
2024-07-08,-1.4112
2024-07-09,-1.0969
2024-07-10,-1.0969
2024-07-11,-1.0969
2024-07-12,-1.0969
2024-07-15,-1.1258
2024-07-16,-1.2165
2024-07-17,-0.9001
2024-07-18,-0.8472
2024-07-19,-0.5087
2024-07-22,-1.0227
2024-07-23,-1.1471
2024-07-24,-1.5046
2024-07-25,-1.6269
2024-07-26,-2.2348
2024-07-29,-2.1832
2024-07-30,-2.4656
2024-07-31,-2.4394
2024-08-01,-2.0829
2024-08-02,-2.1652
2024-08-05,-2.7291
2024-08-06,-2.8151
2024-08-07,-2.6565
2024-08-08,-2.4477
2024-08-09,-3.8555
2024-08-12,-5.0752
2024-08-13,-4.9398
2024-08-14,-5.8121
2024-08-15,-5.8526
2024-08-16,-5.4395
2024-08-19,-5.1471
2024-08-20,-6.4866
2024-08-21,-6.0597
2024-08-22,-5.4204
2024-08-23,-4.2184
2024-08-26,-4.0406
2024-08-27,-3.9327
2024-08-28,-4.5283
2024-08-29,-5.0114
2024-08-30,-4.8246
2024-09-02,-5.0682
2024-09-03,-5.2670
2024-09-04,-5.2670
2024-09-05,-5.2670
2024-09-06,-5.2670
2024-09-09,-5.2670
2024-09-10,-5.2670
2024-09-11,-5.2670
2024-09-12,-5.2670
2024-09-13,-5.2670
2024-09-18,-5.2670
2024-09-19,-5.2670
2024-09-20,-5.2670
2024-09-23,-5.2670
2024-09-24,-5.2670
2024-09-25,-5.2670
2024-09-26,-1.6240
2024-09-27,-0.7121
2024-09-30,0.9090
2024-10-08,2.3199
2024-10-09,0.5171
2024-10-10,1.1008
2024-10-11,0.8099
2024-10-14,1.1227
2024-10-15,0.9930
2024-10-16,1.1710
2024-10-17,1.0884
2024-10-18,1.0666
2024-10-21,0.8065
2024-10-22,0.8319
2024-10-23,1.0720
2024-10-24,1.0129
2024-10-25,1.0295
2024-10-28,1.0128
2024-10-29,0.8929
2024-10-30,0.8929
2024-10-31,0.8929
2024-11-01,0.8929
2024-11-04,0.8929
2024-11-05,0.8929
2024-11-06,0.8929
2024-11-07,0.8929
2024-11-08,0.8929
2024-11-11,0.8929
2024-11-12,0.8929
2024-11-13,0.8853
2024-11-14,0.8293
2024-11-15,0.8293
2024-11-18,0.8293
2024-11-19,0.8293
2024-11-20,0.8218
2024-11-21,0.8007
2024-11-22,0.5715
2024-11-25,0.4542
2024-11-26,0.3311
2024-11-27,0.3037
2024-11-28,0.3861
2024-11-29,0.5249
2024-12-02,0.8101
2024-12-03,0.7677
2024-12-04,0.8390
2024-12-05,0.8952
2024-12-06,0.8847
2024-12-09,0.8941
2024-12-10,1.0057
2024-12-11,0.9491
2024-12-12,1.0603
2024-12-13,0.7828
2024-12-16,0.7921
2024-12-17,0.7547
2024-12-18,0.8655
2024-12-19,0.8094
2024-12-20,0.8373
2024-12-23,0.9384
2024-12-24,1.0571
2024-12-25,1.1229
2024-12-26,0.3648
2024-12-27,0.0230
2024-12-30,-0.8648
2024-12-31,-2.1650
2025-01-02,-1.3791
2025-01-03,-3.3259
2025-01-06,-2.7839
2025-01-07,-4.0255
2025-01-08,-3.6997
2025-01-09,-4.3648
2025-01-10,-4.0509
2025-01-13,-4.4114
2025-01-14,-3.8890
2025-01-15,-3.8166
2025-01-16,-4.1110
2025-01-17,-3.7677
2025-01-20,-3.6241
2025-01-21,-3.3844
2025-01-22,-3.0235
2025-01-23,-3.0235
2025-01-24,-3.0235
2025-01-27,-3.0235
2025-02-05,-3.0235
2025-02-06,-3.0235
2025-02-07,-3.0235
2025-02-10,-3.0663
2025-02-11,-3.1059
2025-02-12,-3.1059
2025-02-13,-2.7535
2025-02-14,-2.5200
2025-02-17,-1.3331
2025-02-18,-1.2275
2025-02-19,-1.5516
2025-02-20,-1.7175
2025-02-21,-1.7616
2025-02-24,-1.8222
2025-02-25,-1.6219
2025-02-26,-1.2010
2025-02-27,-0.8332
2025-02-28,-1.1333
2025-03-03,-1.2386
2025-03-04,-1.2386
2025-03-05,-1.2839
2025-03-06,-1.4050
2025-03-07,-1.2361
2025-03-10,-1.5445
2025-03-11,-1.4301
2025-03-12,-0.4407
2025-03-13,-0.7969
2025-03-14,-0.1627
2025-03-17,-1.6663
2025-03-18,-1.1629
2025-03-19,-1.0942
2025-03-20,-1.1300
2025-03-21,-1.3925
2025-03-24,-1.2685
2025-03-25,-1.3326
2025-03-26,-1.5759
2025-03-27,-1.8703
2025-03-28,-2.0033
2025-03-31,-1.8779
2025-04-01,-1.8142
2025-04-02,-2.0905
2025-04-03,-1.6057
2025-04-07,-1.0463
2025-04-08,-0.9047
2025-04-09,-0.9047
2025-04-10,-0.9047
2025-04-11,-0.9047
2025-04-14,-0.9047
2025-04-15,-0.9047
2025-04-16,-0.9047
2025-04-17,-0.9047
2025-04-18,-0.9047
2025-04-21,-0.9047
2025-04-22,-0.9047
2025-04-23,-0.9047
2025-04-24,-0.9047
2025-04-25,-0.9047
2025-04-28,-0.9047
2025-04-29,-0.9047
2025-04-30,-0.9047
2025-05-06,-0.9047
2025-05-07,-0.9492
2025-05-08,-0.7308
2025-05-09,-0.3996
2025-05-12,-0.3305
2025-05-13,0.2054
2025-05-14,0.5379
2025-05-15,0.2557
2025-05-16,-0.3838
2025-05-19,-0.5031
2025-05-20,-0.1612
2025-05-21,0.3319
2025-05-22,0.6578
2025-05-23,0.4289
2025-05-26,0.5883
2025-05-27,0.7286
2025-05-28,0.6280
2025-05-29,0.5866
2025-05-30,1.0427
2025-06-03,1.8211
2025-06-04,1.9549
2025-06-05,1.3948
2025-06-06,1.3880
2025-06-09,1.6459
2025-06-10,1.9054
2025-06-11,1.4629
2025-06-12,2.0549
2025-06-13,1.3836
2025-06-16,3.9064
2025-06-17,3.8129
2025-06-18,3.7560
2025-06-19,3.5877
2025-06-20,4.0186
2025-06-23,4.3177
2025-06-24,4.3177
2025-06-25,4.7068
2025-06-26,5.1876
2025-06-27,4.2966
2025-06-30,3.8327
2025-07-01,4.3168
2025-07-02,4.3736
2025-07-03,4.4576
2025-07-04,4.9323
2025-07-07,5.3099
2025-07-08,5.0315
2025-07-09,5.3572
2025-07-10,5.8302
2025-07-11,4.9424
2025-07-14,5.0957
2025-07-15,4.3624
2025-07-16,4.1429
2025-07-17,4.0263
2025-07-18,4.2455
2025-07-21,4.0298
2025-07-22,3.7400
2025-07-23,3.7988
2025-07-24,3.7988
2025-07-25,3.7988
2025-07-28,3.7988
2025-07-29,3.7988
2025-07-30,3.7988
2025-07-31,3.8245
2025-08-01,3.7086
2025-08-04,3.5505
2025-08-05,3.5267
