交易编号,入场日期,入场价格,股数,止损价,出场日期,出场价格,出场类型,盈亏金额,盈亏比例,持仓天数
1,2024-01-03,7.64,5147,7.25,2024-01-08,7.59,信号,-374.76,-0.65%,5
2,2024-01-16,7.78,4857,7.37,2024-01-23,7.60,信号,-985.83,-2.31%,7
3,2024-01-25,7.94,4254,7.47,2024-03-14,8.67,信号,2997.92,9.20%,49
4,2024-03-21,8.91,3787,8.37,2024-03-25,8.84,信号,-365.75,-0.79%,4
5,2024-03-26,9.04,3828,8.51,2024-04-10,8.72,信号,-1326.29,-3.54%,15
6,2024-04-19,9.13,3715,8.59,2024-06-04,9.46,信号,1121.78,3.62%,46
7,2024-07-01,9.51,4489,9.06,2024-07-08,9.06,止损,-2145.02,-4.74%,7
8,2024-07-15,9.49,4468,9.04,2024-07-25,9.25,信号,-1197.33,-2.53%,10
9,2024-08-20,9.50,5272,9.13,2024-09-03,9.24,信号,-1518.17,-2.74%,14
10,2024-09-25,9.66,4210,9.20,2024-10-29,10.94,信号,5281.28,13.32%,34
11,2024-11-13,11.01,2705,10.26,2024-11-14,10.94,信号,-278.33,-0.64%,1
12,2024-11-20,11.04,2688,10.29,2024-11-25,10.58,信号,-1323.05,-4.17%,5
13,2024-12-06,11.06,3614,10.51,2025-01-03,10.78,信号,-1129.83,-2.53%,28
14,2025-02-10,10.83,4226,10.36,2025-03-03,10.91,信号,200.08,0.74%,21
15,2025-03-05,11.06,5020,10.67,2025-03-20,10.89,信号,-1018.29,-1.54%,15
16,2025-05-07,10.43,6460,10.13,2025-07-23,12.29,信号,11802.29,17.85%,77
17,2025-10-16,11.54,5313,11.13,2025-12-03,11.55,信号,-130.91,0.09%,48
